end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:57.899420",50.357,50.360570984586268,50.65100000000001,32.963443658896715,871499.52,4701,2467,8948,43321,5650
"-1 day, 23:59:57.884829",50.492,50.426285668627614,51.43699999999998,32.919208118261324,871499.52,4701,2467,8948,43321,5650
"-1 day, 23:59:57.870124",50.403,50.414642839902612,49.78000000000001,32.946135273914393,871499.52,4701,2467,8948,43321,5650
"-1 day, 23:59:57.855690",50.28,50.347321604691309,49.41900000000002,32.956147960176487,871499.52,4701,2468,8948,43321,5650
"-1 day, 23:59:57.838800",50.57,50.458661308778318,52.599999999999994,32.924364878295151,871283.088,4701,2468,8948,43321,5650
"-1 day, 23:59:57.823776",50.476,50.467330657746835,49.81799999999999,32.929051957977322,871283.088,4701,2468,8948,43321,5650
"-1 day, 23:59:57.809148",50.304,50.385665600962511,49.10000000000002,32.947869503154109,871283.088,4701,2469,8948,43321,5650
"-1 day, 23:59:57.794315",50.336,50.360832825426144,50.559999999999974,32.894478876408073,871283.088,4701,2469,8948,43321,5650
"-1 day, 23:59:57.779557",50.492,50.426416588947248,51.58399999999999,32.805858326733663,871283.088,4701,2469,8948,43321,5650
"-1 day, 23:59:57.764528",50.302,50.364208453553786,48.972000000000016,32.91319708440971,871283.088,4701,2470,8948,43321,5650
"-1 day, 23:59:57.749574",50.329,50.346604239144625,50.51800000000001,32.956579489418367,871283.088,4701,2470,8948,43321,5650
"-1 day, 23:59:57.734999",50.422,50.384302177493716,51.07299999999997,32.921968155692085,871283.088,4701,2470,8948,43321,5650
"-1 day, 23:59:57.720307",50.496,50.440151216371355,51.01400000000004,32.930188157618822,871283.088,4701,2470,8948,43321,5650
"-1 day, 23:59:57.705779",50.34,50.390075710497499,49.24800000000001,33.011602629443345,871283.088,4701,2471,8948,43321,5650
"-1 day, 23:59:57.689157",50.392,50.391037854998999,50.756,32.934836930447325,0.0,4701,2471,8948,43321,5650
"-1 day, 23:59:57.674725",50.436,50.413518948193961,50.74399999999998,32.885316515450896,0.0,4701,2471,8948,43321,5650
"-1 day, 23:59:57.660419",50.284,50.348759645399937,49.21999999999999,32.869022133342746,0.0,4701,2472,8948,43321,5650
"-1 day, 23:59:57.645947",50.374,50.361379829412172,51.004000000000026,32.92496214445854,0.0,4701,2472,8948,43321,5650
"-1 day, 23:59:57.631544",50.376,50.368689916839912,50.389999999999965,32.909398899749846,0.0,4701,2472,8948,43321,5650
"-1 day, 23:59:57.617523",50.458,50.413345040019749,51.032000000000004,32.947850288166343,0.0,4701,2472,8948,43321,5650
"-1 day, 23:59:57.603145",50.333,50.373172585788744,49.458,32.999203239821938,0.0,4701,2473,8948,43321,5650
"-1 day, 23:59:57.588659",50.4,50.386586300095765,50.869,32.926042127446713,0.0,4701,2473,8948,43321,5650
"-1 day, 23:59:57.574164",50.426,50.406293165950622,50.608000000000025,32.925394464699451,0.0,4701,2473,8948,43321,5650
"-1 day, 23:59:57.559736",50.287,50.346646728086114,49.31399999999998,32.891640248330319,0.0,4701,2474,8948,43321,5650
"-1 day, 23:59:57.543230",50.361,50.353823366282782,50.878999999999984,32.924811065568036,872653.824,4701,2474,8948,43321,5650
"-1 day, 23:59:57.528351",50.453,50.403411783676844,51.097000000000044,32.921364276992605,872653.824,4701,2474,8948,43321,5650
"-1 day, 23:59:57.513647",50.56,50.481706142829466,51.309,32.993202609574823,872653.824,4701,2474,8948,43321,5650
"-1 day, 23:59:57.498990",50.334,50.407853293212142,48.75200000000001,33.021293174518767,872653.824,4701,2475,8948,43321,5650
"-1 day, 23:59:57.484188",50.412,50.409926646372291,50.95799999999997,32.90453522388006,872653.824,4701,2475,8948,43321,5650
"-1 day, 23:59:57.469418",50.409,50.409463323466369,50.388,32.844369137623097,872653.824,4701,2475,8948,43321,5650
"-1 day, 23:59:57.454621",50.309,50.359231765076956,49.60899999999999,32.831059091058073,872653.824,4701,2476,8948,43321,5650
"-1 day, 23:59:57.440019",50.324,50.341615895397531,50.429,32.918144681678527,872653.824,4701,2476,8948,43321,5650
"-1 day, 23:59:57.425083",50.361,50.351307951468236,50.61999999999999,32.890252547046451,872653.824,4701,2476,8948,43321,5650
"-1 day, 23:59:57.410311",50.351,50.351153975735414,50.28100000000001,32.931481337527948,872653.824,4701,2477,8948,43321,5650
"-1 day, 23:59:57.393699",50.273,50.312077050193267,49.72700000000003,32.964193035929178,0.0,4701,2477,8948,43321,5650
"-1 day, 23:59:57.378830",50.42,50.366038643862581,51.44899999999999,32.95684147818843,0.0,4701,2477,8948,43321,5650
"-1 day, 23:59:57.364396",50.393,50.379519329310568,50.20399999999999,32.97123919939542,0.0,4701,2477,8948,43321,5650
"-1 day, 23:59:57.349400",50.314,50.346759708301292,49.760999999999996,32.971907059707597,0.0,4701,2478,8948,43321,5650
"-1 day, 23:59:57.334481",50.427,50.386879919733182,51.217999999999996,32.975629455712337,0.0,4701,2478,8948,43321,5650
"-1 day, 23:59:57.320065",50.374,50.380439961530662,50.00300000000002,32.917398842948806,0.0,4701,2478,8948,43321,5650
"-1 day, 23:59:57.305708",50.313,50.346720027151363,49.886,32.928182482790376,0.0,4701,2479,8948,43321,5650
"-1 day, 23:59:57.290959",50.335,50.340860014992117,50.48899999999999,32.930095839021696,0.0,4701,2479,8948,43321,5650
"-1 day, 23:59:57.276524",50.505,50.422930282682884,51.695000000000014,32.926448311217285,0.0,4701,2479,8948,43321,5650
"-1 day, 23:59:57.261830",50.425,50.423965141420787,49.86499999999996,32.999499764386087,0.0,4701,2479,8948,43321,5650
"-1 day, 23:59:57.244893",50.365,50.394482605915414,49.945000000000036,32.986867973068378,874673.856,4701,2480,8948,43321,5650
"-1 day, 23:59:57.230400",50.454,50.424241339020313,51.07699999999999,32.92603364556539,874673.856,4701,2480,8948,43321,5650
"-1 day, 23:59:57.215763",50.401,50.412620675085492,50.03000000000002,32.865495877486055,874673.856,4701,2480,8948,43321,5650
"-1 day, 23:59:57.201536",50.303,50.357810460379341,49.616999999999955,32.894537261079989,874673.856,4701,2481,8948,43321,5650
"-1 day, 23:59:57.187146",50.384,50.370905237254348,50.95100000000002,32.897440978715842,874673.856,4701,2481,8948,43321,5650
"-1 day, 23:59:57.172650",50.489,50.429952761448099,51.223999999999975,32.909828540258616,874673.856,4701,2481,8948,43321,5650
"-1 day, 23:59:57.157952",50.348,50.388976449307833,49.36100000000001,32.963810147236138,874673.856,4701,2482,8948,43321,5650
"-1 day, 23:59:57.143456",50.358,50.373488234262865,50.42799999999998,32.957590661063044,874673.856,4701,2482,8948,43321,5650
"-1 day, 23:59:57.128762",50.39,50.381744119882711,50.614000000000026,32.891459035985882,874673.856,4701,2482,8948,43321,5650
"-1 day, 23:59:57.114101",50.489,50.435372177634598,51.181999999999974,32.905353647984491,874673.856,4701,2482,8948,43321,5650
"-1 day, 23:59:57.097442",50.353,50.394186158156415,49.40100000000003,32.977188265321402,877703.904,4701,2483,8948,43321,5650
"-1 day, 23:59:57.083109",50.408,50.401093080880003,50.793,32.934985539548734,877703.904,4701,2483,8948,43321,5650
"-1 day, 23:59:57.068142",50.474,50.437546594750152,50.935999999999964,32.917288314669889,877703.904,4701,2484,8948,43321,5650
"-1 day, 23:59:57.053873",50.274,50.355773570269335,48.87400000000003,32.874100932121564,877703.904,4701,2485,8948,43321,5650
"-1 day, 23:59:57.038823",50.32,50.337886798453717,50.641999999999996,32.895308506449943,877703.904,4701,2485,8948,43321,5650
"-1 day, 23:59:57.024488",50.458,50.39794354695816,51.423999999999985,32.892250731967962,877703.904,4701,2486,8948,43321,5650
"-1 day, 23:59:57.009747",50.51,50.45397190225485,50.873999999999995,32.961644635721257,877703.904,4701,2486,8948,43321,5650
"-1 day, 23:59:56.994883",50.3,50.376986192684512,48.82999999999999,33.023229656599952,877703.904,4701,2487,8948,43321,5650
"-1 day, 23:59:56.980325",50.407,50.391993104979235,51.15599999999999,32.920519093141067,877703.904,4701,2487,8948,43321,5650
"-1 day, 23:59:56.965686",50.893,50.642499123948276,54.29500000000003,32.962142594463593,877703.904,4701,2488,8948,43321,5650
"-1 day, 23:59:56.949106",50.844,50.743249980088009,50.501000000000005,33.098320894981548,0.0,4701,2489,8948,43321,5650
"-1 day, 23:59:56.934518",50.361,50.552126469249146,46.97999999999997,33.043289053799789,0.0,4701,2489,8948,43321,5650
"-1 day, 23:59:56.919867",50.48,50.516063286074306,51.312999999999995,32.731539006185912,0.0,4701,2490,8948,43321,5650
"-1 day, 23:59:56.905113",50.602,50.559031725651892,51.455999999999996,32.542594804311825,0.0,4701,2491,8948,43321,5650
"-1 day, 23:59:56.890346",50.347,50.453016332399798,48.56200000000003,32.701965595324303,0.0,4701,2491,8948,43321,5650
"-1 day, 23:59:56.875344",50.365,50.409008246342069,50.49100000000001,32.884396398092008,0.0,4701,2492,8948,43321,5650
"-1 day, 23:59:56.860778",50.426,50.417504124733803,50.853,32.804659236935343,0.0,4701,2493,8948,43321,5650
"-1 day, 23:59:56.846065",50.286,50.351752240159854,49.306,32.802015032582659,0.0,4701,2494,8948,43321,5650
"-1 day, 23:59:56.830761",50.396,50.373876140285518,51.166,32.934031545700549,0.0,4701,2495,8948,43321,5650
"-1 day, 23:59:56.816352",50.467,50.420438158784094,50.963999999999984,32.95157430860548,0.0,4701,2496,8948,43321,5650
"-1 day, 23:59:56.799198",50.286,50.353219263687379,49.01900000000002,32.934301445219347,880084.656,4701,2497,8948,43321,5650
"-1 day, 23:59:56.784610",50.357,50.355109631881362,50.853999999999985,32.948786653337628,880084.656,4701,2498,8948,43321,5650
"-1 day, 23:59:56.769657",50.427,50.391054868666245,50.917,32.901691863561595,880084.656,4701,2498,8948,43321,5650
"-1 day, 23:59:56.754912",50.405,50.398027436395978,50.25100000000001,32.928581395213726,880084.656,4701,2499,8948,43321,5650
"-1 day, 23:59:56.739891",50.388,50.393013719211687,50.26899999999998,32.998631504963093,880084.656,4701,2500,8948,43321,5650
"-1 day, 23:59:56.724912",50.791,50.592008479037005,53.61199999999999,33.016507987208257,880084.656,4701,2501,8948,43321,5650
