end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:58.274006",70.255,70.267993374653045,70.13599999999992,4.1071654083655673,1010016.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.258548",70.261,70.264496695525239,70.303,4.1125712412196549,1010016.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.242996",70.304,70.284248607303866,70.60500000000005,4.1267504774026706,1010016.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.226460",70.293,70.288624316074419,70.21600000000004,4.1518773127428164,1010016.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.211012",70.318,70.303312300351337,70.49299999999994,4.1571029517626492,1010016.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.195170",70.297,70.300156156438405,70.14999999999999,4.1354102676349473,1010016.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.178995",70.325,70.31257818019553,70.52100000000004,4.1050500107838683,1010016.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.163094",70.309,70.310789092589516,70.19699999999996,4.1069328304218322,1010016.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.147038",70.286,70.298394648499226,70.12500000000003,4.0878082950325512,1010016.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.130622",70.269,70.283697468589239,70.15000000000003,4.088248448517942,1010016.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.113470",70.286,70.28484873536263,70.40499999999997,4.0781243408344094,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.097762",70.291,70.2879243741327,70.32599999999996,4.1061477821006385,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.082025",70.306,70.296962241545629,70.411,4.1311136983450742,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.066594",70.254,70.27548142740909,69.89000000000006,4.1303100172718548,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.050814",70.268,70.271740722619342,70.36599999999997,4.1079586991065513,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.035226",70.302,70.286870513631712,70.54000000000005,4.112262981089911,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.019752",70.275,70.280935280283259,70.086,4.1228517000332268,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:58.003849",70.336,70.308468143518212,70.76299999999995,4.1551291208406917,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.988152",70.289,70.29873413304388,69.96000000000002,4.135166141350874,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.972776",70.28,70.289367124569651,70.217,4.1045397405205186,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.955601",70.292,70.290683563902149,70.376,4.1054394401391283,1012036.032,-1,9098,8948,34977,5383
"-1 day, 23:59:57.939877",70.269,70.279841860239884,70.10800000000003,4.080465710740147,1012036.032,-1,9098,8948,34977,5383
"-1 day, 23:59:57.924128",70.257,70.268421017518477,70.173,4.113330004013787,1012036.032,-1,9098,8948,34977,5383
"-1 day, 23:59:57.908308",70.279,70.273710527237512,70.43299999999994,4.1198365012761,1012036.032,-1,9098,8948,34977,5383
"-1 day, 23:59:57.892555",70.268,70.270855268949788,70.19100000000003,4.1244270388600066,1012036.032,-1,9098,8948,34977,5383
"-1 day, 23:59:57.877017",70.373,70.321929366785994,71.10800000000003,4.1565941933584911,1012036.032,-1,9098,8948,34977,5383
"-1 day, 23:59:57.861763",70.323,70.322464679307345,69.97299999999991,4.1644105948829537,1012036.032,-1,9098,8948,34977,5383
"-1 day, 23:59:57.846293",70.28,70.301232635095602,69.97900000000006,4.1235414904390533,1012036.032,-1,9098,8948,34977,5383
"-1 day, 23:59:57.830504",70.281,70.291116386472567,70.28800000000004,4.0871209382096279,1012036.032,-1,9098,8948,34977,5383
"-1 day, 23:59:57.814469",70.29,70.290558194842333,70.35300000000001,4.0387309226537811,1012036.032,-1,9098,8948,34977,5383
"-1 day, 23:59:57.797358",70.273,70.281779150218071,70.15399999999993,4.0944089622981865,1015498.944,-1,9098,8948,34977,5383
"-1 day, 23:59:57.781377",70.281,70.281389575012298,70.33700000000007,4.1237813379595316,1015498.944,-1,9098,8948,34977,5383
"-1 day, 23:59:57.765605",70.271,70.276194805290913,70.20099999999996,4.1213758682615396,1015498.944,-1,9098,8948,34977,5383
"-1 day, 23:59:57.750065",70.289,70.282597429845424,70.415,4.1221172152794452,1015498.944,-1,9098,8948,34977,5383
"-1 day, 23:59:57.734311",70.288,70.285298719736602,70.28099999999996,4.1351503356532762,1015498.944,-1,9098,8948,34977,5383
"-1 day, 23:59:57.718818",70.315,70.300149506005738,70.504,4.1343156316671799,1015498.944,-1,9098,8948,34977,5383
"-1 day, 23:59:57.703220",70.26,70.280075019751237,69.87500000000006,4.1299112393605641,1015498.944,-1,9098,8948,34977,5383
"-1 day, 23:59:57.686368",70.295,70.287537546758188,70.53999999999998,4.1100750830727311,1015498.944,-1,9098,8948,34977,5383
"-1 day, 23:59:57.670705",70.285,70.286268774718096,70.21499999999996,4.1107005986350194,1015498.944,-1,9098,8948,34977,5383
"-1 day, 23:59:57.654653",70.263,70.274634477389242,70.10900000000007,4.1051551698782509,1015498.944,-1,9098,8948,34977,5383
"-1 day, 23:59:57.637553",70.273,70.273817239233296,70.34299999999993,4.1309396279643282,0.0,-1,9098,8948,34977,5383
