end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:49.433963",31.65,31.541173369888629,32.62299999999999,2.1044508508708533,1244844.72,1196,2202,8948,51133,5657
"-1 day, 23:59:49.420137",31.731,31.636097372138302,32.29800000000002,2.0195266324601375,1244844.72,1196,2208,8948,51133,5657
"-1 day, 23:59:49.406373",31.798,31.717056929012941,32.266999999999975,1.9249493401533551,1244844.72,1196,2214,8948,51133,5657
"-1 day, 23:59:49.392479",31.896,31.806538868681884,32.58200000000002,1.8294700799432542,1244844.72,1196,2220,8948,51133,5657
"-1 day, 23:59:49.378321",31.973,31.889779002062074,32.511999999999986,1.7123407638042454,1244844.72,1196,2227,8948,51133,5657
"-1 day, 23:59:49.364300",32.08,31.984902651870591,32.82899999999999,1.6354067047005689,1244844.72,1196,2233,8948,51133,5657
"-1 day, 23:59:49.348785",32.168,32.076464243862539,32.784000000000006,1.5584927669831394,0.0,1196,2241,8948,51133,5657
"-1 day, 23:59:49.334639",32.227,32.151741526395668,32.63999999999998,1.4594834523370375,0.0,1196,2247,8948,51133,5657
"-1 day, 23:59:49.320735",32.327,32.239384026195303,33.02700000000001,1.3661584344554407,0.0,1196,2254,8948,51133,5657
"-1 day, 23:59:49.306865",32.485,32.362219192375484,33.59100000000001,1.2768951346337962,0.0,1196,2260,8948,51133,5657
"-1 day, 23:59:49.292836",32.543,32.452626237285088,32.949,1.1997911880680832,0.0,1196,2267,8948,51133,5657
"-1 day, 23:59:49.278792",32.646,32.549333030570544,33.36700000000001,1.1090290304640777,0.0,1196,2273,8948,51133,5657
"-1 day, 23:59:49.264893",32.711,32.630182001951752,33.16599999999998,0.98277068118281041,0.0,1196,2280,8948,51133,5657
"-1 day, 23:59:49.250878",32.817,32.723613413758869,33.55900000000001,0.85441277563986884,0.0,1196,2286,8948,51133,5657
"-1 day, 23:59:49.236991",32.917,32.820334088382879,33.61700000000001,0.7825092335658822,0.0,1196,2292,8948,51133,5657
"-1 day, 23:59:49.223069",32.849,32.83467027311751,32.37299999999996,0.67019477129234406,0.0,1204,1883,8948,51133,5657
"-1 day, 23:59:49.207735",32.917,32.875842680555763,33.393000000000036,0.56486216571471726,1245854.736,1204,1356,8948,51133,5657
"-1 day, 23:59:49.193501",29.299,31.169419182691719,3.9729999999999848,0.1,1245854.736,1211,1127,8948,51133,5657
"-1 day, 23:59:49.179601",29.276,30.674965871999326,29.115000000000002,0.1,1245854.736,1211,1127,8948,51133,5657
"-1 day, 23:59:49.165720",29.331,29.779618528485976,29.715999999999998,0.4156121731711454,1245854.736,1211,1147,8948,51133,5657
"-1 day, 23:59:49.151602",29.289,29.5317504480713,28.995000000000015,1.8586525073398856,1245854.736,1211,1147,8948,51133,5657
"-1 day, 23:59:49.137517",30.079,29.802339786709815,35.608999999999995,4.2815216162782468,1245854.736,1211,1148,8948,51133,5657
"-1 day, 23:59:49.123566",29.402,29.601745271769992,24.663000000000004,4.2845428460896224,1245854.736,1211,1148,8948,51133,5657
"-1 day, 23:59:49.109472",29.417,29.509337591656987,29.522000000000006,4.0685386405767501,1245854.736,1211,1149,8948,51133,5657
"-1 day, 23:59:49.095204",29.376,29.442665995372632,29.089,3.8660866100310374,1245854.736,1211,1149,8948,51133,5657
"-1 day, 23:59:49.081115",29.625,29.533837692842393,31.36799999999999,3.6654992649186142,1245854.736,1211,1150,8948,51133,5657
"-1 day, 23:59:49.065845",29.351,29.44242450251658,27.432999999999993,4.0914556329351086,0.0,1211,1150,8948,51133,5657
"-1 day, 23:59:49.051829",29.492,29.46721203033929,30.479000000000013,4.0475951050972823,0.0,1211,1151,8948,51133,5657
"-1 day, 23:59:49.037823",29.401,29.434106548478347,28.763999999999992,4.0166406795392779,0.0,1211,1151,8948,51133,5657
"-1 day, 23:59:49.023459",29.363,29.398553993621935,29.096999999999998,3.9324747438456211,0.0,1211,1152,8948,51133,5657
"-1 day, 23:59:49.009043",29.382,29.390277055631778,29.515000000000015,4.0608753344819775,0.0,1211,1152,8948,51133,5657
