end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:58.289697",69.763,69.90152772220921,67.71200000000006,1.8991345866382772,0.0,2851,3552,8948,42121,5382
"-1 day, 23:59:58.275018",69.875,69.888264910783334,70.65899999999996,1.6856298169204429,0.0,2851,3554,8948,42121,5382
"-1 day, 23:59:58.261118",70.247,70.067683211516794,72.851,1.5090008871460856,0.0,2851,3556,8948,42121,5382
"-1 day, 23:59:58.246627",70.27,70.168862020482052,70.43099999999997,1.8412522278797319,0.0,2851,3558,8948,42121,5382
"-1 day, 23:59:58.232111",70.224,70.196430896912375,69.90200000000006,1.947914947498359,0.0,2851,3560,8948,42121,5382
"-1 day, 23:59:58.217873",69.796,69.996275801081893,66.80000000000003,1.6310944499260007,0.0,2851,3562,8948,42121,5382
"-1 day, 23:59:58.203810",69.754,69.875164070895551,69.46,1.288189742141497,0.0,2851,3564,8948,42121,5382
"-1 day, 23:59:58.189846",69.977,69.926091675667749,71.538,1.3852765439451151,0.0,2851,3566,8948,42121,5382
"-1 day, 23:59:58.175566",69.844,69.88505006531885,68.91299999999993,1.6320370625988467,0.0,2851,3568,8948,42121,5382
"-1 day, 23:59:58.160143",69.785,69.835028884565901,69.37200000000001,1.9147239880080091,918609.552,2851,3570,8948,42121,5382
"-1 day, 23:59:58.145728",69.812,69.823513764239536,70.001,1.8635212649675608,918609.552,2851,3572,8948,42121,5382
"-1 day, 23:59:58.131241",69.919,69.871260317966701,70.66799999999999,1.7813588545793637,918609.552,2851,3574,8948,42121,5382
"-1 day, 23:59:58.117311",69.838,69.854630609946739,69.27099999999997,1.9074880021449692,918609.552,2851,3576,8948,42121,5382
"-1 day, 23:59:58.103118",69.797,69.82581650512661,69.51000000000002,1.9071069424908593,918609.552,2851,3578,8948,42121,5382
"-1 day, 23:59:58.089090",69.669,69.747417451681414,68.773,1.8303152868588055,918609.552,2851,3581,8948,42121,5382
"-1 day, 23:59:58.074358",69.802,69.774709928069683,70.73300000000008,1.7936303110787486,918609.552,2851,3582,8948,42121,5382
"-1 day, 23:59:58.060174",69.813,69.793855586325321,69.88999999999997,1.9125659322723605,918609.552,2851,3584,8948,42121,5382
"-1 day, 23:59:58.046159",69.798,69.795927751914462,69.693,1.9791663334332739,918609.552,2851,3587,8948,42121,5382
"-1 day, 23:59:58.032056",69.731,69.763465390211309,69.26199999999994,2.0037523505546608,918609.552,2851,3589,8948,42121,5382
"-1 day, 23:59:58.016561",69.669,69.716235866446993,69.23500000000001,1.8843677790559201,897904.224,2851,3591,8948,42121,5382
"-1 day, 23:59:58.002534",69.8,69.758120546452957,70.717,1.9027196090604663,897904.224,2851,3593,8948,42121,5382
"-1 day, 23:59:57.988465",69.738,69.748060435990382,69.30400000000002,1.963083213248983,897904.224,2851,3596,8948,42121,5382
